"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","blog.zenika.com/192.0.78.185","443","INFO","HTTP","",""
"pre_128cipher","blog.zenika.com/192.0.78.185","443","INFO","No 128 cipher limit bug","",""
"SSLv2","blog.zenika.com/192.0.78.185","443","OK","not offered","",""
"SSLv3","blog.zenika.com/192.0.78.185","443","OK","not offered","",""
"TLS1","blog.zenika.com/192.0.78.185","443","INFO","not offered","",""
"TLS1_1","blog.zenika.com/192.0.78.185","443","INFO","not offered","",""
"TLS1_2","blog.zenika.com/192.0.78.185","443","OK","offered","",""
"TLS1_3","blog.zenika.com/192.0.78.185","443","OK","offered with final","",""
"ALPN_HTTP2","blog.zenika.com/192.0.78.185","443","OK","h2","",""
"ALPN","blog.zenika.com/192.0.78.185","443","INFO","http/1.1","",""
"cipherlist_NULL","blog.zenika.com/192.0.78.185","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","blog.zenika.com/192.0.78.185","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","blog.zenika.com/192.0.78.185","443","OK","not offered","","CWE-327"
"cipherlist_LOW","blog.zenika.com/192.0.78.185","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","blog.zenika.com/192.0.78.185","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","blog.zenika.com/192.0.78.185","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","blog.zenika.com/192.0.78.185","443","INFO","not offered","",""
"cipherlist_STRONG_FS","blog.zenika.com/192.0.78.185","443","OK","offered","",""
"cipher_order-tls1_2","blog.zenika.com/192.0.78.185","443","OK","server","",""
"cipherorder_TLSv1_2","blog.zenika.com/192.0.78.185","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","blog.zenika.com/192.0.78.185","443","OK","server -- TLS 1.3 client determined","",""
"FS","blog.zenika.com/192.0.78.185","443","OK","offered","",""
"FS_ciphers","blog.zenika.com/192.0.78.185","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_KEMs","blog.zenika.com/192.0.78.185","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","blog.zenika.com/192.0.78.185","443","OK","prime256v1","",""
"TLS_extensions","blog.zenika.com/192.0.78.185","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","blog.zenika.com/192.0.78.185","443","INFO","valid for 3600 seconds only (<daily)","",""
"SSL_sessionID_support","blog.zenika.com/192.0.78.185","443","INFO","yes","",""
"sessionresumption_ticket","blog.zenika.com/192.0.78.185","443","INFO","supported","",""
"sessionresumption_ID","blog.zenika.com/192.0.78.185","443","INFO","not supported","",""
"TLS_timestamp","blog.zenika.com/192.0.78.185","443","INFO","random","",""
