"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","training.zenika.com/185.42.117.108","443","INFO","HTTP","",""
"pre_128cipher","training.zenika.com/185.42.117.108","443","INFO","No 128 cipher limit bug","",""
"SSLv2","training.zenika.com/185.42.117.108","443","OK","not offered","",""
"SSLv3","training.zenika.com/185.42.117.108","443","OK","not offered","",""
"TLS1","training.zenika.com/185.42.117.108","443","INFO","not offered","",""
"TLS1_1","training.zenika.com/185.42.117.108","443","INFO","not offered","",""
"TLS1_2","training.zenika.com/185.42.117.108","443","OK","offered","",""
"TLS1_3","training.zenika.com/185.42.117.108","443","OK","offered with final","",""
"ALPN","training.zenika.com/185.42.117.108","443","INFO","http/1.1","",""
"cipherlist_NULL","training.zenika.com/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","training.zenika.com/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","training.zenika.com/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_LOW","training.zenika.com/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","training.zenika.com/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","training.zenika.com/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","training.zenika.com/185.42.117.108","443","INFO","not offered","",""
"cipherlist_STRONG_FS","training.zenika.com/185.42.117.108","443","OK","offered","",""
"cipher_order-tls1_2","training.zenika.com/185.42.117.108","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","training.zenika.com/185.42.117.108","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","training.zenika.com/185.42.117.108","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","training.zenika.com/185.42.117.108","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","training.zenika.com/185.42.117.108","443","INFO","NOT a cipher order configured","",""
"FS","training.zenika.com/185.42.117.108","443","OK","offered","",""
