"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","next.zenika.com/91.208.207.147","443","INFO","HTTP","",""
"pre_128cipher","next.zenika.com/91.208.207.147","443","INFO","No 128 cipher limit bug","",""
"SSLv2","next.zenika.com/91.208.207.147","443","OK","not offered","",""
"SSLv3","next.zenika.com/91.208.207.147","443","OK","not offered","",""
"TLS1","next.zenika.com/91.208.207.147","443","INFO","not offered","",""
"TLS1_1","next.zenika.com/91.208.207.147","443","INFO","not offered","",""
"TLS1_2","next.zenika.com/91.208.207.147","443","OK","offered","",""
"TLS1_3","next.zenika.com/91.208.207.147","443","OK","offered with final","",""
"ALPN","next.zenika.com/91.208.207.147","443","INFO","http/1.1","",""
"cipherlist_NULL","next.zenika.com/91.208.207.147","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","next.zenika.com/91.208.207.147","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","next.zenika.com/91.208.207.147","443","OK","not offered","","CWE-327"
"cipherlist_LOW","next.zenika.com/91.208.207.147","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","next.zenika.com/91.208.207.147","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","next.zenika.com/91.208.207.147","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","next.zenika.com/91.208.207.147","443","OK","offered","",""
"cipherlist_STRONG_FS","next.zenika.com/91.208.207.147","443","OK","offered","",""
"cipher_order-tls1_2","next.zenika.com/91.208.207.147","443","OK","server","",""
"cipherorder_TLSv1_2","next.zenika.com/91.208.207.147","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","next.zenika.com/91.208.207.147","443","OK","server","",""
"FS","next.zenika.com/91.208.207.147","443","OK","offered","",""
"FS_ciphers","next.zenika.com/91.208.207.147","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","next.zenika.com/91.208.207.147","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","next.zenika.com/91.208.207.147","443","OK","prime256v1 secp384r1 secp521r1","",""
